,date,tweet,likeCount,Bank,User,Subjectivity,Polarity,Analysis,cleaned_words
49,2023-05-29 22:57:52+00:00,boss pls  show me love too to pay my school fees too pls  odutola segun access bank,0,Access Bank,segun470413391,0.6,0.5,Positive,boss pls show love pay school fees pls odutola segun access bank
51,2023-05-29 22:49:29+00:00,doneaccess bankokah clarencei will appreciate anything at all,0,Access Bank,ClarenceOkah,0.0,0.0,Neutral,doneaccess bankokah clarencei appreciate anything
52,2023-05-29 22:48:30+00:00,access bankokah clarenceplease anything i will appreciate,0,Access Bank,ClarenceOkah,0.0,0.0,Neutral,access bankokah clarenceplease anything appreciate
53,2023-05-29 22:44:10+00:00,access bank chukwuorah nzube m god bless u,0,Access Bank,ChukwuorahNzube,0.0,0.0,Neutral,access bank chukwuorah nzube god bless
55,2023-05-29 22:39:27+00:00,access bank god bless you more,0,Access Bank,damireti,0.5,0.5,Positive,access bank god bless
57,2023-05-29 22:31:19+00:00,access bank eze chidimma,1,Access Bank,Gwyneth64976654,0.0,0.0,Neutral,access bank eze chidimma
59,2023-05-29 22:15:10+00:00,access bank oyindolapo oyinwola,0,Access Bank,Oyindimeji,0.0,0.0,Neutral,access bank oyindolapo oyinwola
60,2023-05-29 22:12:30+00:00,access bank jamiu bakareboss pls kindly help me av been trying all this while,0,Access Bank,Belletuz1,0.9,0.6,Positive,access bank jamiu bakareboss pls kindly help av trying
61,2023-05-29 22:11:05+00:00,access bank jamiu bakarewill be glad if u hlp me ma,0,Access Bank,Belletuz1,1.0,0.5,Positive,access bank jamiu bakarewill glad hlp
63,2023-05-29 22:08:22+00:00,please i really need it to buy inventory for my business and to pay for shipping fee access bankemekekwue chineze,0,Access Bank,ChinezeEmekekw1,0.2,0.2,Positive,please really need buy inventory business pay shipping fee access bankemekekwue chineze
64,2023-05-29 22:07:10+00:00,balikis adejoke ramaniaccessbank na because of u i no gree sleep opls no pass me by,0,Access Bank,BalikisRamani,0.0,0.0,Neutral,balikis adejoke ramaniaccessbank gree sleep opls pass
66,2023-05-29 22:05:48+00:00,please am here also i need money for my rents which is k  access bank mary olaleye,0,Access Bank,MaryJoy40,0.0,0.0,Neutral,please also need money rents k access bank mary olaleye
71,2023-05-29 21:56:57+00:00,access bankisreal,0,Access Bank,Pemisayo2102,0.0,0.0,Neutral,access bankisreal
72,2023-05-29 21:33:33+00:00,paul  access banknever won a giveaway before but this,0,Access Bank,De_PrincePaul,0.0,0.0,Neutral,paul access banknever giveaway
73,2023-05-29 21:23:06+00:00,access bank and ghana fa to extend partnership,113,Access Bank,Ghanasoccernet,0.0,0.0,Neutral,access bank ghana fa extend partnership
74,2023-05-29 21:15:00+00:00,boss hlp me abeg even if na dis  na abeg pls access bank jamiu bakare,0,Access Bank,Belletuz1,0.0,0.0,Neutral,boss hlp abeg even dis abeg pls access bank jamiu bakare
76,2023-05-29 21:10:56+00:00,yes sirjoseph ukayiaccess bank,0,Access Bank,JUkayi,0.0,0.0,Neutral,yes sirjoseph ukayiaccess bank
78,2023-05-29 21:07:06+00:00,i am still hopeful to be lucky today i am not loosing any hopeaccess bankeverest obot,0,Access Bank,everestinglaff,0.8333333333333334,0.3333333333333333,Positive,still hopeful lucky today loosing hopeaccess bankeverest obot
79,2023-05-29 21:05:18+00:00,access bankplease check on me,0,Access Bank,SharleyAyo,0.0,0.0,Neutral,access bankplease check
84,2023-05-29 20:49:41+00:00,pls  i need money for house rent access bank,0,Access Bank,Olami175,0.0,0.0,Neutral,pls need money house rent access bank
85,2023-05-29 20:45:58+00:00,access bank udacity advance africa scholarship programme deadline  june follow us youtube whatsapp group linkedin telegram group,1,Access Bank,SolutionwheelsC,0.0,0.0,Neutral,access bank udacity advance africa scholarship programme deadline june follow us youtube whatsapp group linkedin telegram group
86,2023-05-29 20:40:49+00:00,i made transfer of  on  may saturday and was debited but  recipient is yet to be credited plz do the needful,0,Access Bank,samsparky01,0.0,0.0,Neutral,made transfer may saturday debited recipient yet credited plz needful
89,2023-05-29 20:28:53+00:00,access bank anene oluebube emmanuel,1,Access Bank,kamtochukwu190,0.0,0.0,Neutral,access bank anene oluebube emmanuel
90,2023-05-29 20:25:12+00:00,pls am begging u i hv been following help me wit my kids schfees pls  nkechi obiagwu access bank,1,Access Bank,nkechi_obi94491,0.1,0.0,Neutral,pls begging hv following help wit kids schfees pls nkechi obiagwu access bank
94,2023-05-29 20:24:08+00:00,done liked retweeted and following youalbashir yakubu  access bank thanks,1,Access Bank,AameerJnr,0.3666666666666667,0.26666666666666666,Positive,done liked retweeted following youalbashir yakubu access bank thanks
98,2023-05-29 20:21:31+00:00,all done muhsina yusuf  access bank praying to be luckythis logo is so nice,1,Access Bank,MssMuhsina,1.0,0.6,Positive,done muhsina yusuf access bank praying luckythis logo nice
99,2023-05-29 20:21:23+00:00,boss i don put account tire  reason me abegaccess bankuchenna patrick,0,Access Bank,Royalbeastkenn1,0.0,0.0,Neutral,boss put account tire reason abegaccess bankuchenna patrick
101,2023-05-29 20:20:56+00:00,please bless me sir god will surely bless you more  salimon nurudeen kayode access bank,1,Access Bank,kayodedollar,0.6944444444444444,0.5,Positive,please bless sir god surely bless salimon nurudeen kayode access bank
102,2023-05-29 20:20:08+00:00,jimoh yusuf olatunji access bankthis will go a long way boss,0,Access Bank,Thereal_Jaywhy,0.4,-0.05,Negative,jimoh yusuf olatunji access bankthis long way boss
103,2023-05-29 20:20:01+00:00,joseph ukayiaccess banki have been a fan sir,1,Access Bank,JUkayi,0.0,0.0,Neutral,joseph ukayiaccess banki fan sir
105,2023-05-29 20:12:09+00:00,access bank please olamilekan adebanjo see  mee boss,0,Access Bank,YakubAdebanjo,0.0,0.0,Neutral,access bank please olamilekan adebanjo mee boss
108,2023-05-29 20:10:03+00:00,idan access bank,0,Access Bank,JonathanBilijoe,0.0,0.0,Neutral,idan access bank
109,2023-05-29 20:09:47+00:00,baba i gallant like this  access bank,0,Access Bank,kevin_kemas,0.0,0.0,Neutral,baba gallant like access bank
110,2023-05-29 20:07:22+00:00,i dey there agba talented talented for a reason access bank,0,Access Bank,JahmezEscobar15,0.9,0.7,Positive,dey agba talented talented reason access bank
112,2023-05-29 20:06:46+00:00,pls may i know why the transaction done on the st of april with the i d  is still not reflecting till now,0,Access Bank,TOSINENEE,0.0,0.0,Neutral,pls may transaction done st april still reflecting till
113,2023-05-29 20:06:15+00:00,boss i no leave since acc num  akinyemi olorunleke access bank,1,Access Bank,layksidejay,0.0,0.0,Neutral,boss leave since acc num akinyemi olorunleke access bank
115,2023-05-29 20:05:08+00:00,please allow god to use you for me acc num  akinyemi olorunleke access bank,0,Access Bank,layksidejay,0.0,0.0,Neutral,please allow god use acc num akinyemi olorunleke access bank
116,2023-05-29 20:04:59+00:00,yes access bank please olamilekan adebanjo,0,Access Bank,YakubAdebanjo,0.0,0.0,Neutral,yes access bank please olamilekan adebanjo
117,2023-05-29 20:03:55+00:00,kindly check your dm thank you,0,Access Bank,JaizBankNG,0.9,0.6,Positive,kindly check dm thank
119,2023-05-29 20:00:31+00:00,i just followed boss and im new here please help me access bank,0,Access Bank,christian_amojo,0.45454545454545453,0.13636363636363635,Positive,followed boss new please help access bank
122,2023-05-29 19:55:43+00:00,access bankuchegbu giftthank you bro,1,Access Bank,WisGift,0.0,0.0,Neutral,access bankuchegbu giftthank bro
124,2023-05-29 19:38:20+00:00,yes he has just work in any access bank and request they will put you tru,4,Access Bank,chinonso947,0.0,0.0,Neutral,yes work access bank request put tru
127,2023-05-29 19:31:00+00:00,boss at first i thought the giveaway is a joke but have been following you for quite a while now i just pray you will look my side todayacc num  akinyemi olorunleke access bank,0,Access Bank,layksidejay,0.21666666666666667,0.125,Positive,boss first thought giveaway joke following quite pray look side todayacc num akinyemi olorunleke access bank
128,2023-05-29 19:20:07+00:00,baba please show me love acc num akinyemi olorunleke access bank,0,Access Bank,layksidejay,0.6,0.5,Positive,baba please show love acc num akinyemi olorunleke access bank
130,2023-05-29 19:16:00+00:00,benjamin agbo access bank,0,Access Bank,Jay_drills,0.0,0.0,Neutral,benjamin agbo access bank
131,2023-05-29 19:15:59+00:00,can you pls attend to my enquiry,0,Access Bank,ubsammy,0.0,0.0,Neutral,pls attend enquiry
132,2023-05-29 19:12:12+00:00,am online pls pick me i never won ur giveaway before    access bank thanks,0,Access Bank,VictorOnoniwu97,0.2,0.2,Positive,online pls pick never ur giveaway access bank thanks
134,2023-05-29 19:11:26+00:00,god bless you and i hope we boom together cos i don save ur game but no bar to stake         access bank,0,Access Bank,amaciouslala,0.4,-0.4,Negative,god bless hope boom together cos save ur game bar stake access bank
139,2023-05-29 19:08:17+00:00,irowa ehigiator access bank,0,Access Bank,irowaE,0.0,0.0,Neutral,irowa ehigiator access bank
143,2023-05-29 19:04:40+00:00,you need to have a good media sales reps team  two months ago i needed to get a car from you i tried to get in touch but there was no way your agent i later spoke with on phone was directing me to access bank for financing meanwhile that was not what i wanted,3,Access Bank,iSupportcryptos,0.30000000000000004,0.35,Positive,need good media sales reps team two months ago needed get car tried get touch way agent later spoke phone directing access bank financing meanwhile wanted
144,2023-05-29 19:02:52+00:00,guy real talk i left accessbank and they became good lool,2,Access Bank,Demialaga,0.30000000000000004,0.3,Positive,guy real talk left accessbank became good lool
145,2023-05-29 19:01:58+00:00,access bankthanks  pls pick me o i have been following since last year,0,Access Bank,VictorOnoniwu97,0.08333333333333334,0.0,Neutral,access bankthanks pls pick following since last year
147,2023-05-29 19:01:19+00:00,if there anything in my life ive ever been optimistic about then is  victory may his administration favor even the downtroddensaalu kennethaccess bank,0,Access Bank,SaaluKenneth,0.0,0.0,Neutral,anything life ive ever optimistic victory may administration favor even downtroddensaalu kennethaccess bank
148,2023-05-29 19:01:10+00:00,i am following both of you ajibade opeyemi access bank,0,Access Bank,Opefitmie,0.1,0.0,Neutral,following ajibade opeyemi access bank
151,2023-05-29 18:59:05+00:00,dropped with faith access bank kosi okoye,0,Access Bank,kossi95_,0.0,0.0,Neutral,dropped faith access bank kosi okoye
155,2023-05-29 18:47:05+00:00,chidinma goodluck okwunka access bank god bless you more as you lift others,1,Access Bank,PrinceUrch5,0.5,0.5,Positive,chidinma goodluck okwunka access bank god bless lift others
157,2023-05-29 18:41:43+00:00,access bank bless you,0,Access Bank,shigobase,0.0,0.0,Neutral,access bank bless
163,2023-05-29 18:21:12+00:00,i have been following for quite long it will go along way adedeji ayomide jeremiah access bank,0,Access Bank,Adedejiayo123,0.25,-0.025,Negative,following quite long along way adedeji ayomide jeremiah access bank
165,2023-05-29 18:20:00+00:00,muhsina yusuf  access bank please bless me,1,Access Bank,MssMuhsina,0.0,0.0,Neutral,muhsina yusuf access bank please bless
166,2023-05-29 18:19:06+00:00,boss please help me i want to pay my cousin bills in the hospital access bank adedeji ayomide jeremiah,0,Access Bank,Adedejiayo123,0.0,0.0,Neutral,boss please help want pay cousin bills hospital access bank adedeji ayomide jeremiah
169,2023-05-29 18:13:39+00:00,yes i will sirstill yet to receive from you siraccess bankeverest obot,0,Access Bank,everestinglaff,0.0,0.0,Neutral,yes sirstill yet receive siraccess bankeverest obot
170,2023-05-29 18:12:53+00:00,i am still yet to receive from you sir even though i have done all it takes for weeks now see me today siraccess bankeverest obot,0,Access Bank,everestinglaff,0.0,0.0,Neutral,still yet receive sir even though done takes weeks today siraccess bankeverest obot
171,2023-05-29 18:10:01+00:00,i have a question regarding your operations and how you handle your customers situations in times of failed atm transactions,1,Access Bank,MuhammadWando,0.3,-0.5,Negative,question regarding operations handle customers situations times failed atm transactions
173,2023-05-29 18:07:04+00:00,access bank never since last year i started following you,0,Access Bank,sparrow89ideas,0.08333333333333334,0.0,Neutral,access bank never since last year started following
175,2023-05-29 18:05:52+00:00,access bank gentle godstime,0,Access Bank,GentleBlaq007,0.8,0.2,Positive,access bank gentle godstime
180,2023-05-29 17:49:33+00:00,if nah k bro i go manageaccess bank idris uthman,0,Access Bank,idris_uthman,0.0,0.0,Neutral,nah k bro manageaccess bank idris uthman
184,2023-05-29 17:31:26+00:00,boss pls show me love too for once always active  odutola segun access bank,0,Access Bank,segun470413391,0.6,0.18333333333333335,Positive,boss pls show love always active odutola segun access bank
187,2023-05-29 17:22:20+00:00,i just started following u now i pray u see my tweet  ajibade opeyemi access bankgod bless you,0,Access Bank,Opefitmie,0.1,0.0,Neutral,started following pray tweet ajibade opeyemi access bankgod bless
188,2023-05-29 17:21:26+00:00,uthman sikiru ayinde access bank god bless you sir,0,Access Bank,UsmonOlawale,0.0,0.0,Neutral,uthman sikiru ayinde access bank god bless sir
190,2023-05-29 17:17:58+00:00,we sincerely apologise for the inconvenience this might have caused you sir kindly provide us with your account details and transaction details for proper resolution via dm,0,Access Bank,JaizBankNG,0.5,0.3666666666666667,Positive,sincerely apologise inconvenience might caused sir kindly provide us account details transaction details proper resolution via dm
191,2023-05-29 17:11:20+00:00,hello    i transferred funds to a  account but the account is yet to be credited mind troubleshooting this for me,1,Access Bank,_tgbasky,0.0,0.0,Neutral,hello transferred funds account account yet credited mind troubleshooting
192,2023-05-29 17:10:15+00:00,uchenna patrick access bank,0,Access Bank,Royalbeastkenn1,0.0,0.0,Neutral,uchenna patrick access bank
194,2023-05-29 17:08:43+00:00,boss have little mercy on me you havent even check into my comment once  access bank taiwo,0,Access Bank,FemiDorothee,0.5,-0.1875,Negative,boss little mercy havent even check comment access bank taiwo
195,2023-05-29 17:05:51+00:00,access bankuchenna patrick thank you,0,Access Bank,Royalbeastkenn1,0.0,0.0,Neutral,access bankuchenna patrick thank
196,2023-05-29 16:51:38+00:00,refund my money please,0,Access Bank,cosyosoye777,0.0,0.0,Neutral,refund money please
197,2023-05-29 16:51:07+00:00,sent already,0,Access Bank,cosyosoye777,0.0,0.0,Neutral,sent already
199,2023-05-29 16:47:48+00:00,you are yet to reply my messages,0,Access Bank,OlufemiAlonge,0.0,0.0,Neutral,yet reply messages
201,2023-05-29 16:41:18+00:00,i am here following siraccess bank,0,Access Bank,Akinnusioluseg3,0.1,0.0,Neutral,following siraccess bank
202,2023-05-29 16:33:14+00:00,access bankfredrick joel kelau,0,Access Bank,joel_frede60314,0.0,0.0,Neutral,access bankfredrick joel kelau
204,2023-05-29 16:22:51+00:00,please pick me sir access bank james bamaiyi,0,Access Bank,BamaiyiJB,0.0,0.0,Neutral,please pick sir access bank james bamaiyi
205,2023-05-29 16:22:02+00:00,boss pls help a brother i need a favor from u i need to pay my school fees n there no money help ya fan  access bankgod bless youbigger i pray for you,0,Access Bank,FelixSnr389574,0.0,0.0,Neutral,boss pls help brother need favor need pay school fees n money help ya fan access bankgod bless youbigger pray
215,2023-05-29 15:53:54+00:00,balikis adejoke ramaniaccessbank,0,Access Bank,BalikisRamani,0.0,0.0,Neutral,balikis adejoke ramaniaccessbank
216,2023-05-29 15:44:28+00:00,i have visited access bank premises for purpose of changing my alert phone number more than five times up til now is not working,0,Access Bank,Anthony31750539,0.5,0.5,Positive,visited access bank premises purpose changing alert phone number five times til working
217,2023-05-29 15:40:37+00:00,im very active at all times access bank abiodun fadipe,0,Access Bank,ckay_fadipe,0.78,-0.17333333333333334,Negative,active times access bank abiodun fadipe
218,2023-05-29 15:38:57+00:00,im an active bro access bank abiodun fadipe,0,Access Bank,ckay_fadipe,0.6,-0.13333333333333333,Negative,active bro access bank abiodun fadipe
219,2023-05-29 15:37:17+00:00,you have my screenshot no sir pls credited me to save me from debt sir  access bank,0,Access Bank,LewisMaggie5,0.0,0.0,Neutral,screenshot sir pls credited save debt sir access bank
221,2023-05-29 15:34:17+00:00,months chief am also in rivers sate access bank timothy owoi thanks,0,Access Bank,TimothyOwoi2022,0.2,0.2,Positive,months chief also rivers sate access bank timothy owoi thanks
224,2023-05-29 15:25:27+00:00,it would last long till next month cause i really need foodstuffs and i need to pay my remaining school fees before our upcoming examaccess bankpeter oreoluwa jayeoba rivers state,1,Access Bank,jayeoba_peter,0.16666666666666669,0.037500000000000006,Positive,would last long till next month cause really need foodstuffs need pay remaining school fees upcoming examaccess bankpeter oreoluwa jayeoba rivers state
226,2023-05-29 15:23:46+00:00,access bank thank you sir,0,Access Bank,aproko_doctorf,0.0,0.0,Neutral,access bank thank sir
228,2023-05-29 15:14:30+00:00,thank you just did that,0,Access Bank,AjibolaTofowomo,0.0,0.0,Neutral,thank
229,2023-05-29 15:13:02+00:00,access bank fadipe abiodun thank you very much,0,Access Bank,ckay_fadipe,0.26,0.26,Positive,access bank fadipe abiodun thank much
230,2023-05-29 15:12:27+00:00,access bank fortune michael  god bless you,0,Access Bank,FortuneMoses14,0.0,0.0,Neutral,access bank fortune michael god bless
232,2023-05-29 15:10:19+00:00,access bankeverest obotdone,0,Access Bank,everestinglaff,0.0,0.0,Neutral,access bankeverest obotdone
236,2023-05-29 15:05:17+00:00,i have joined a month ago and i have been engaging siraccess bankeverest obot,0,Access Bank,everestinglaff,0.7,0.4,Positive,joined month ago engaging siraccess bankeverest obot
239,2023-05-29 14:59:44+00:00,access bankeverest obit,0,Access Bank,everestinglaff,0.0,0.0,Neutral,access bankeverest obit
240,2023-05-29 14:59:34+00:00,bro even if it k i will appreciate it tanks access bank jamiu bakare,0,Access Bank,Belletuz1,0.0,0.0,Neutral,bro even k appreciate tanks access bank jamiu bakare
241,2023-05-29 14:58:32+00:00,thank uonwuama christabel access bank,0,Access Bank,Boluwatifo,0.0,0.0,Neutral,thank uonwuama christabel access bank
243,2023-05-29 14:57:28+00:00,mine happened this morning so i had to contact them via email i just got a feedback that it has been processed for reversal,1,Access Bank,imocheezy,0.0,0.0,Neutral,mine happened morning contact via email got feedback processed reversal
244,2023-05-29 14:57:00+00:00,god bless uonyi obinaniaccess bank,0,Access Bank,chaizybae,0.0,0.0,Neutral,god bless uonyi obinaniaccess bank
246,2023-05-29 14:55:31+00:00,access bankeverest obotbless me siri am so down need to treat myself,0,Access Bank,everestinglaff,0.2888888888888889,-0.15555555555555559,Negative,access bankeverest obotbless siri need treat
247,2023-05-29 14:53:45+00:00,access bank has made me a begi begi and i feel so embarrassed,1,Access Bank,Nonyinyee,0.0,0.0,Neutral,access bank made begi begi feel embarrassed
249,2023-05-29 14:51:38+00:00,hi   i apologize for the delayed response kindly provide this details via our dm to enable us assist further deejah,0,Access Bank,myaccessbank,0.7,0.3,Positive,hi apologize delayed response kindly provide details via dm enable us assist deejah
251,2023-05-29 14:49:11+00:00,access bankcongratulations to nigerians,1,Access Bank,Henryhoomen1,0.0,0.0,Neutral,access bankcongratulations nigerians
252,2023-05-29 14:48:43+00:00,river statesir pls k will do a lot sir pls have not won any of ur giveaway pls sir  access bank,0,Access Bank,Morenikeji20172,0.0,0.0,Neutral,river statesir pls k lot sir pls ur giveaway pls sir access bank
254,2023-05-29 14:47:43+00:00,make i try luck use diswan take prepare stew and riceaccess bankgod bless you boss,0,Access Bank,Eparisto2,0.0,0.0,Neutral,try luck use diswan take prepare stew riceaccess bankgod bless boss
258,2023-05-29 14:45:14+00:00,access bankboss,0,Access Bank,Valerian_CJay,0.0,0.0,Neutral,access bankboss
259,2023-05-29 14:44:39+00:00,mama i no dey gallant abeg i fit see the k abeg access bank,0,Access Bank,JahmezEscobar15,0.4,0.4,Positive,mama dey gallant abeg fit k abeg access bank
262,2023-05-29 14:43:17+00:00,access bank iribhogbe lucky cecele at least i go fill gaseven if na kg first god bless you,1,Access Bank,cecelejunior,0.5222222222222223,0.09444444444444444,Positive,access bank iribhogbe lucky cecele least fill gaseven kg first god bless
264,2023-05-29 14:42:35+00:00,i should be among this  ooo accessbank thanks,0,Access Bank,Hlincoln2,0.2,0.2,Positive,among ooo accessbank thanks
265,2023-05-29 14:42:01+00:00,access bank plc anthony abu,0,Access Bank,anthony16826711,0.0,0.0,Neutral,access bank plc anthony abu
271,2023-05-29 14:38:01+00:00,please sort out this issue,0,Access Bank,OdunayoBayewu,0.0,0.0,Neutral,please sort issue
272,2023-05-29 14:36:58+00:00,kindly help my kidsacct number abu eaccess bankthank you,0,Access Bank,mifider,0.9,0.6,Positive,kindly help kidsacct number abu eaccess bankthank
275,2023-05-29 14:36:21+00:00,please this funds will do something good for meacct number abu eaccess bankthank you,0,Access Bank,mifider,0.6000000000000001,0.7,Positive,please funds something good meacct number abu eaccess bankthank
277,2023-05-29 14:35:23+00:00,hi  im sorry to learn about the unsuccessful transaction you had please send me a dm containing your account number and transaction details amount date so i can assist you further as we are currently following your handle tyana,0,Access Bank,myaccessbank,0.5333333333333333,-0.16666666666666666,Negative,hi sorry learn unsuccessful transaction please send dm containing account number transaction details amount date assist currently following handle tyana
278,2023-05-29 14:34:48+00:00,hi   i apologize for the delayed response kindly find the link below  deejah,0,Access Bank,myaccessbank,0.9,0.6,Positive,hi apologize delayed response kindly find link deejah
282,2023-05-29 14:33:27+00:00,hi   im sorry to learn about the unsuccessful transaction you had please send me a dm containing  your account number and transaction details amount date so i can assist you further tyana,0,Access Bank,accessbank_help,0.75,-0.25,Negative,hi sorry learn unsuccessful transaction please send dm containing account number transaction details amount date assist tyana
285,2023-05-29 14:32:37+00:00,acct number abu eaccess bankthank you,0,Access Bank,mifider,0.0,0.0,Neutral,acct number abu eaccess bankthank
292,2023-05-29 14:29:31+00:00,hi  i am truly concerned about your post and i totally understand how upsetting this could be please share more light on this via our dm to enable me assist you further  tyana,0,Access Bank,myaccessbank,0.6125,0.225,Positive,hi truly concerned post totally understand upsetting could please share light via dm enable assist tyana
298,2023-05-29 14:25:11+00:00,hi   i apologize for the delayed response kindly note that your dm has been responded to deejah,0,Access Bank,myaccessbank,0.9,0.6,Positive,hi apologize delayed response kindly note dm responded deejah
300,2023-05-29 14:24:14+00:00,i have sent the transaction receipt from the sender to your dm,0,Access Bank,iconic_dumebi,0.0,0.0,Neutral,sent transaction receipt sender dm
305,2023-05-29 14:22:34+00:00,hi   i apologize for the delayed response kindly be informed that feedback has been provided via dm deejah,0,Access Bank,myaccessbank,0.9,0.6,Positive,hi apologize delayed response kindly informed feedback provided via dm deejah
314,2023-05-29 14:18:51+00:00,goc  the interest rate has killed many small and medium scale businesses especially access bank god will not forgive them,0,Access Bank,omoledstronger,0.475,0.012499999999999997,Positive,goc interest rate killed many small medium scale businesses especially access bank god forgive
315,2023-05-29 14:18:41+00:00,access bank statement i have been waiting for my money to reverse since last week pls what is the hold up yall asked me to send a dm and i did with no reply what is the problem,0,Access Bank,Enigma00332305,0.06666666666666667,0.0,Neutral,access bank statement waiting money reverse since last week pls hold yall asked send dm reply problem
317,2023-05-29 14:18:33+00:00,hello   i am concerned about your tweet and would like to help resolve this issue  kindly send your account number and the details of the transaction via dm so i will get you sorted tonia,0,Access Bank,accessbank_help,0.9,0.6,Positive,hello concerned tweet would like help resolve issue kindly send account number details transaction via dm get sorted tonia
318,2023-05-29 14:18:10+00:00,omo i no do adult againmake person send me money hunger dey access bank,0,Access Bank,CruiseHypeman,0.3,0.1,Positive,omo adult againmake person send money hunger dey access bank
319,2023-05-29 14:17:45+00:00,hi   i apologize for the delayed response kindly be informed that your dm has been responded to deejah,0,Access Bank,myaccessbank,0.9,0.6,Positive,hi apologize delayed response kindly informed dm responded deejah
320,2023-05-29 14:16:43+00:00,access bank ill try again but u usually dont pick me,0,Access Bank,MiracleOnyeka8,0.625,-0.375,Negative,access bank ill try usually pick
322,2023-05-29 14:15:25+00:00,access bankgod bless you sir,0,Access Bank,Ayomide09342987,0.0,0.0,Neutral,access bankgod bless sir
326,2023-05-29 14:14:00+00:00,including meabeg access bank omotoyosi sunday,0,Access Bank,baabsos,0.0,0.0,Neutral,including meabeg access bank omotoyosi sunday
329,2023-05-29 14:13:05+00:00,boss am your truly fan pls surprise me today pls anything at i will been praying for you always  access bank jamiu bakare,0,Access Bank,Belletuz1,0.0,0.0,Neutral,boss truly fan pls surprise today pls anything praying always access bank jamiu bakare
332,2023-05-29 14:11:42+00:00,wetin be this na  boss abeg imagination wan kill me  access bank danjuma dauda,0,Access Bank,TY_Danjuma1,0.15000000000000002,-0.2,Negative,wetin boss abeg imagination wan kill access bank danjuma dauda
335,2023-05-29 14:10:43+00:00,wen if it not upto that  access bank jamiu bakare,0,Access Bank,Belletuz1,0.0,0.0,Neutral,wen upto access bank jamiu bakare
337,2023-05-29 14:09:35+00:00,boss pls av been trying my best dropping acct number but you not looking my side pls boss kindly favour me today pls god will be making it ease for you in  access bank jamiu bakare,0,Access Bank,Belletuz1,0.6,0.8,Positive,boss pls av trying best dropping acct number looking side pls boss kindly favour today pls god making ease access bank jamiu bakare
346,2023-05-29 14:08:17+00:00,hi  am concerned about your post and would like to address the issue please delete your account number here for security reasons and send us a dm and and i will get you sorted bella,0,Access Bank,accessbank_help,0.0,0.0,Neutral,hi concerned post would like address issue please delete account number security reasons send us dm get sorted bella
